Country,Injury Severity,Aircraft Damage,Aircraft Category,Make,Model,Amateur Built,Engines Count,Engine Type,Purpose of Flight,Total Fatal Injuries,Total Serious Injuries,Total Minor Injuries,Total Uninjured,Weather Condition,Report Status,Event Date,Latitude,Longitude,Amateur Built Category,Total Passengers,Aircraft Damage Severity,Average Uninjured Rate,Average Fatality Rate,Average Serious Rate,Average Minor Rate,Month
United States,Non-Fatal,Substantial,Airplane,Cessna,140,0,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Probable Cause,1982-01-01,,,No,2.0,2,1.0,0.0,0.0,0.0,1
United States,Non-Fatal,Substantial,Airplane,Cessna,401B,0,2.0,Reciprocating,Business,0.0,0.0,0.0,2.0,IMC,Probable Cause,1982-01-01,,,No,2.0,2,1.0,0.0,0.0,0.0,1
United States,Non-Fatal,Destroyed,Airplane,Bellanca,17-30A,0,1.0,Reciprocating,Personal,0.0,0.0,1.0,0.0,IMC,Probable Cause,1982-01-02,,,No,1.0,3,0.0,0.0,0.0,1.0,1
United States,Fatal,Destroyed,Airplane,Cessna,R172K,0,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,IMC,Probable Cause,1982-01-02,,,No,1.0,3,0.0,1.0,0.0,0.0,1
United States,Fatal,Destroyed,Airplane,Navion,A,0,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,IMC,Probable Cause,1982-01-02,,,No,1.0,3,0.0,1.0,0.0,0.0,1
United States,Fatal,Destroyed,Airplane,Beech,19,0,1.0,Reciprocating,Personal,2.0,0.0,0.0,0.0,IMC,Probable Cause,1982-01-02,,,No,2.0,3,0.0,1.0,0.0,0.0,1
United States,Fatal,Destroyed,Airplane,Cessna,180,0,1.0,Reciprocating,Personal,3.0,0.0,0.0,0.0,VMC,Probable Cause,1982-01-02,,,No,3.0,3,0.0,1.0,0.0,0.0,1
United States,Non-Fatal,Substantial,Airplane,Cessna,172,0,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Probable Cause,1982-01-02,,,No,1.0,2,1.0,0.0,0.0,0.0,1
United States,Non-Fatal,Substantial,Airplane,Cessna,150L,0,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Probable Cause,1982-01-02,,,No,2.0,2,1.0,0.0,0.0,0.0,1
United States,Incident,Minor,Airplane,Piper,PA-24-180,0,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Probable Cause,1982-01-03,,,No,1.0,1,1.0,0.0,0.0,0.0,1
United States,Fatal,Destroyed,Airplane,Grumman,AA-5B,0,1.0,Reciprocating,Personal,2.0,1.0,0.0,0.0,IMC,Probable Cause,1982-01-03,,,No,3.0,3,0.0,0.6666666666666666,0.3333333333333333,0.0,1
United States,Fatal,Destroyed,Airplane,Cessna,414A,0,2.0,Reciprocating,Business,8.0,0.0,0.0,0.0,IMC,Probable Cause,1982-01-03,,,No,8.0,3,0.0,1.0,0.0,0.0,1
United States,Fatal,Destroyed,Airplane,Beech,BE-58,0,2.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,IMC,Probable Cause,1982-01-03,,,No,1.0,3,0.0,1.0,0.0,0.0,1
