Aircraft Damage,Country,Total Minor Injuries
Destroyed,Antarctica,0.0
Destroyed,Argentina,0.0
Destroyed,Atlantic ocean,0.0
Destroyed,Austria,0.0
Destroyed,Bahamas,0.5
Destroyed,Belgium,0.0
Destroyed,Bolivia,
Destroyed,Brazil,0.39285714285714285
Destroyed,Canada,0.0
Destroyed,Chile,
Destroyed,Colombia,0.8
Destroyed,Cuba,
Destroyed,Dominican republic,
Destroyed,El salvador,
Destroyed,Eswatini,0.75
Destroyed,France,0.42857142857142855
Destroyed,Germany,0.0
Destroyed,Guadeloupe,0.0
Destroyed,Guatemala,0.0
Destroyed,Honduras,0.0
Destroyed,Hungary,0.0
Destroyed,Iceland,
Destroyed,Iraq,0.0
Destroyed,Ireland,0.0
Destroyed,Italy,0.0
Destroyed,Macao,0.0
Destroyed,Mexico,0.125
Destroyed,Namibia,
Destroyed,Netherlands,0.0
Destroyed,New zealand,0.0
Destroyed,Niger,10.0
Destroyed,Peru,0.0
Destroyed,Poland,0.0
Destroyed,Portugal,0.0
Destroyed,Romania,0.0
Destroyed,Russia,0.0
Destroyed,Saint barthelemy,0.0
Destroyed,South Africa,0.0
Destroyed,Spain,0.16666666666666666
Destroyed,Sweden,0.0
Destroyed,Switzerland,
Destroyed,Turkey,0.0
Destroyed,Turks and caicos,0.0
Destroyed,United Kingdom,0.0
Destroyed,United States,0.22695035460992907
Destroyed,Venezuela,0.3333333333333333
Destroyed,nan,0.25
Minor,Brazil,0.0
Minor,Canada,0.0
Minor,Colombia,0.0
Minor,Eswatini,0.0
Minor,France,0.0
Minor,Germany,0.0
Minor,Nigeria,0.0
Minor,Poland,0.0
Minor,Spain,0.0
Minor,Suriname,0.0
Minor,United States,0.11046511627906977
Minor,Venezuela,0.0
Substantial,Angola,0.0
Substantial,Argentina,0.2
Substantial,Australia,0.6666666666666666
Substantial,Austria,0.25
Substantial,Bahamas,0.0
Substantial,Belgium,0.0
Substantial,Bolivia,0.0
Substantial,Brazil,0.17391304347826086
Substantial,Bulgaria,0.0
Substantial,Canada,0.4166666666666667
Substantial,Central africa,0.0
Substantial,Chile,1.0
Substantial,Colombia,0.0
Substantial,Costa rica,
Substantial,Denmark,0.0
Substantial,Dominican republic,0.3333333333333333
Substantial,Estonia,0.0
Substantial,Eswatini,0.0
Substantial,Finland,0.0
Substantial,France,0.16666666666666666
Substantial,Georgia,0.0
Substantial,Germany,0.2
Substantial,Guatemala,1.5
Substantial,Honduras,0.0
Substantial,Hungary,
Substantial,Ireland,0.3333333333333333
Substantial,Italy,0.3333333333333333
Substantial,Japan,1.0
Substantial,Kazakhstan,1.0
Substantial,Kenya,0.0
Substantial,Mexico,1.1111111111111112
Substantial,New zealand,0.0
Substantial,Nigeria,0.0
Substantial,Norway,0.0
Substantial,Peru,0.0
Substantial,Puerto rico,0.0
Substantial,Russia,0.0
Substantial,South Africa,0.0
Substantial,Spain,1.0
Substantial,Sweden,0.0
Substantial,United Kingdom,0.09090909090909091
Substantial,United States,0.21477281434372844
Substantial,Venezuela,0.6666666666666666
